,Link,address,Bedrooms,Bathrooms,Car spaces,sell_low,sell_high,rent_low,rent_high,year_type,Sold_History1,Land area,Sold_History2,Sold_History3,Floor area
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/1607-13-angas-st-meadowbank-nsw-2114-19140028,"1607/13 Angas St, Meadowbank",2,2,1,$800k,$900k,$575/w,$650/w,Unit 2014 6528m2 Residential - A 50/SP91188 ,18 Dec 2018 Sold $840k,6528m2,24 Apr 2015 Sold $685k,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/3311-7--13-angas-st-meadowbank-nsw-2114-20697482,"3311/7-13 Angas St, Meadowbank",-,-,-,$650k,$700k,$500/w,$575/w,Unit ,17 Dec 2018 Sold ,,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/9-58--58a-meadow-cres-meadowbank-nsw-2114-20694282,"9/58-58a Meadow Cres, Meadowbank",-,-,-,$550k,$600k,$350/w,$425/w,Unit ,07 Dec 2018 Sold $546k,,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/12-3-bay-dr-meadowbank-nsw-2114-12091454,"12/3 Bay Dr, Meadowbank",1,1,1,$550k,$600k,$425/w,$500/w,Apartment 2006 65m2 10526m2 Residential - A 92/SP76502 ,20 May 2019 Listed for Rent ** DEPOSIT TAKEN **,10526m2,30 Nov 2018 Sold $570k,11 Sep 2018 Listed for Rent ** DEPOSIT TAKEN **,65m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/6-54-meadow-cres-meadowbank-nsw-2114-13350145,"6/54 Meadow Cres, Meadowbank",1,1,1,$450k,$500k,$300/w,$350/w,Unit 1967 177m2 1724m2 Residential - A ,29 Nov 2018 Sold $425k,1724m2,20 Jun 1985 Sold $44k,,177m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/27-7-bay-dr-meadowbank-nsw-2114-2306837,"27/7 Bay Dr, Meadowbank",1,1,1,$500k,$550k,$350/w,$425/w,Unit 2006 69m2 10526m2 Residential - A 255/SP77059 ,24 Nov 2018 Sold $588k,10526m2,12 Nov 2018 Listed for Sale Contact Agent,15 Apr 2011 Sold $448k,69m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/20-7-bay-dr-meadowbank-nsw-2114-2299527,"20/7 Bay Dr, Meadowbank",3,2,2,$800k,$900k,$650/w,$750/w,Unit 2003 123m2 10526m2 Residential - A 248/SP77059 ,23 Nov 2018 Sold ,10526m2,16 Jun 2015 Sold $950k,28 May 2013 Sold $644k,123m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/39-11-bay-dr-meadowbank-nsw-2114-2533852,"39/11 Bay Dr, Meadowbank",1,1,1,$500k,$550k,$350/w,$425/w,Unit 2007 60m2 1160m2 Residential - A 195/SP79422 ,22 Nov 2018 Sold $520k,1160m2,14 Aug 2015 Sold $600k,20 Aug 2010 Sold $428k,60m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/1508-13-angas-st-meadowbank-nsw-2114-19723086,"1508/13 Angas St, Meadowbank",2,2,1,$800k,$900k,$500/w,$575/w,Unit 2014 6528m2 ,18 Nov 2018 Sold ,6528m2,22 Jun 2018 Listed for Sale Sold By Sandy Shi 0468928888,24 Apr 2015 Sold $650k,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/74-15--17-angas-st-meadowbank-nsw-2114-20697291,"74/15-17 Angas St, Meadowbank",-,-,-,$550k,$600k,$425/w,$500/w,Unit ,16 Nov 2018 Sold $565k,,,,
