,Link,address,Bedrooms,Bathrooms,Car spaces,Land area,sell_low,sell_high,rent_low,rent_high,year_type,Sold_History1,Sold_History2,Sold_History3,Floor area
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/98-speers-rd-north-rocks-nsw-2151-4600074,"98 Speers Rd, North Rocks",5,2,1,679m2,$1.20M,$1.30M,$650/w,$750/w,House 1965 225m2 679m2 Residence Residential - A B/390589 ,01 May 2017 Sold $1.20M,28 Aug 2001 Sold $325k,22 Mar 1996 Sold $168k,225m2
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/218-north-rocks-rd-north-rocks-nsw-2151-4776474,"218 North Rocks Rd, North Rocks",5,2,2,714m2,$1.00M,$1.10M,$350/w,$425/w,House 1975 109m2 714m2 Residence Residential - A 8/209485 ,27 Apr 2017 Sold $1.30M,24 Apr 2009 Sold $398k,,109m2
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/44-mill-dr-north-rocks-nsw-2151-4808427,"44 Mill Dr, North Rocks",5,3,2,797m2,$1.50M,$1.60M,$500/w,$575/w,House 1970 153m2 797m2 Residential - A 290/248615 ,20 Apr 2017 Sold $1.47M,,,153m2
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/28-andrew-pl-north-rocks-nsw-2151-13055173,"28 Andrew Pl, North Rocks",4,2,2,900m2,$1.60M,$1.80M,$750/w,$850/w,House 1980 235m2 900m2 Residential - A 42/258592 ,18 Apr 2017 Sold $1.68M,07 Oct 1993 Sold $366k,18 Apr 1979 Sold $93k,235m2
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/13-highclere-cres-north-rocks-nsw-2151-4101400,"13 Highclere Cres, North Rocks",4,2,2,739m2,$1.30M,$1.40M,$650/w,$750/w,House 1970 739m2 Residence Residential - A 48/229557 ,18 Apr 2017 Sold $1.42M,18 Feb 2009 Sold $680k,18 Oct 1984 Sold $128k,
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/270-north-rocks-rd-north-rocks-nsw-2151-12422856,"270 North Rocks Rd, North Rocks",3,1,2,873m2,$1.20M,$1.30M,$500/w,$575/w,House 1980 873m2 Residential - A 3/622089 ,07 Apr 2017 Sold $1.26M,17 Jun 1988 Sold $182k,07 Jun 1984 Sold $41k,
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/25-new-north-rocks-rd-north-rocks-nsw-2151-13517645,"25 New North Rocks Rd, North Rocks",3,1,1,696m2,$1.10M,$1.20M,$575/w,$650/w,House 1968 161m2 696m2 Residential - A 41/227603 ,06 Apr 2017 Sold $1.22M,,,161m2
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/32-plymouth-ave-north-rocks-nsw-2151-12309833,"32 Plymouth Ave, North Rocks",4,2,1,695m2,$1.20M,$1.30M,$650/w,$750/w,House 1980 130m2 695m2 Residential - A 8/236711 ,31 Mar 2017 Sold $1.35M,29 Oct 1992 Sold $253k,07 Apr 1989 Sold $237k,130m2
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/96-north-rocks-rd-north-rocks-nsw-2151-13821121,"96 North Rocks Rd, North Rocks",4,2,2,796m2,$1.60M,$1.80M,$425/w,$500/w,House 2015 337m2 796m2 Residential - A 48/19113 ,23 Mar 2017 Sold $1.63M,06 Aug 2016 Sold $1.63M,31 Mar 2014 Sold $695k,337m2
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/11-57--61-north-rocks-rd-north-rocks-nsw-2151-14978519,"11/57-61 North Rocks Rd, North Rocks",3,2,2,4764m2,$800k,$900k,$500/w,$575/w,House 2000 4764m2 Residential - A 11/SP84079 ,15 Mar 2017 Sold $990k,16 Aug 2010 Sold $585k,28 Jan 2010 Sold $585k,
