,Link,address,Bedrooms,Bathrooms,Car spaces,Land area,sell_low,sell_high,rent_low,rent_high,year_type,Sold_History1,Sold_History2,Sold_History3,Floor area
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/1b-mulyan-ave-carlingford-nsw-2118-3327031,"1b Mulyan Ave, Carlingford",4,2,2,463m2,$1.30M,$1.40M,$650/w,$750/w,House 1995 462m2 463m2 Residence Residential - A 2/853027 ,25 Jul 2020 Sold $1.31M,01 Jul 2020 Listed for Sale Auction (if not sold prior),26 Mar 2012 Sold $677k,462m2
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/19-keats-st-carlingford-nsw-2118-13331327,"19 Keats St, Carlingford",4,1,1,847m2,$1.50M,$1.60M,$575/w,$650/w,House 1980 847m2 Residential - A 41/217843 ,24 Jul 2020 Sold $1.56M,11 Jul 1997 Sold $302k,,
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/24-georgian-ave-carlingford-nsw-2118-12847313,"24 Georgian Ave, Carlingford",3,1,2,704m2,$1.10M,$1.20M,$425/w,$500/w,House 1979 704m2 Residential - A 30/DP239229 ,21 Jul 2020 Sold ,,,
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/3-ada-pl-carlingford-nsw-2118-4235547,"3 Ada Pl, Carlingford",3,1,2,904m2,$1.40M,$1.50M,$575/w,$650/w,House 1975 153m2 904m2 Residence Residential - A 47/224169 ,18 Jul 2020 Sold $1.47M,30 Mar 2009 Sold $585k,05 Aug 1988 Sold $240k,153m2
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/5-tobruk-ave-carlingford-nsw-2118-4743839,"5 Tobruk Ave, Carlingford",6,2,3,752m2,$1.60M,$1.80M,$650/w,$750/w,House 1970 323m2 752m2 Residential - A 7/26990 ,18 Jul 2020 Sold $1.68M,10 Jun 2020 Listed for Sale Auction: 18th July at 2.15pm (Unless Sold Prior),18 Aug 2000 Sold $470k,323m2
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/6-franklin-pl-carlingford-nsw-2118-5935547,"6 Franklin Pl, Carlingford",3,2,2,702m2,$1.40M,$1.50M,$425/w,$500/w,House 1989 702m2 Residential - A 37/215429 ,18 Jul 2020 Sold $1.45M,24 Jun 2020 Listed for Sale Auction,28 Jun 1996 Sold $295k,
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/6-parklea-pl-carlingford-nsw-2118-13025317,"6 Parklea Pl, Carlingford",4,2,2,932m2,$1.30M,$1.40M,$650/w,$750/w,House 1980 932m2 Residential - A 10/DP240954 ,23 Jul 2020 Listed for Rent $700 p.w.,13 Jul 2020 Sold ,06 May 2020 Listed for Sale SOLD,
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/39-felton-rd-carlingford-nsw-2118-13292361,"39 Felton Rd, Carlingford",4,1,1,709m2,$1.20M,$1.30M,$500/w,$575/w,House 1984 709m2 Residential - A 12A/DP374413 ,04 Sep 2020 Listed for Rent $550 pw,17 Aug 2020 Listed for Rent $550 p.w.,12 Jul 2020 Sold $1.24M,
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/10-hibiscus-ave-carlingford-nsw-2118-12956609,"10 Hibiscus Ave, Carlingford",5,2,2,697m2,$1.50M,$1.60M,$650/w,$750/w,House 1980 697m2 Residential - A 103/DP259865 ,11 Jul 2020 Sold $1.69M,16 Jun 2020 Listed for Sale ANOTHER SOLD,21 Aug 2018 Sold ,
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/23-kimberley-rd-carlingford-nsw-2118-13692454,"23 Kimberley Rd, Carlingford",4,2,2,1069m2,$1.15M,$1.73M,$575/w,$650/w,House 1978 1069m2 Residential - A 8/DP222728 ,11 Jul 2020 Sold ,,,
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/12-carolyn-ave-carlingford-nsw-2118-13788968,"12 Carolyn Ave, Carlingford",4,2,2,1029m2,$1.50M,$1.60M,$425/w,$500/w,House 1979 1029m2 Residential - A 27/DP234844 ,11 Jul 2020 Sold $1.57M,,,
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/236-carlingford-rd-carlingford-nsw-2118-13533450,"236 Carlingford Rd, Carlingford",3,1,1,779m2,$1.20M,$1.30M,$425/w,$500/w,House 1978 779m2 Residential - A 10/DP29798 ,07 Jul 2020 Sold $1.08M,,,
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/27-karingal-ave-carlingford-nsw-2118-13266642,"27 Karingal Ave, Carlingford",3,1,1,697m2,$1.20M,$1.30M,$575/w,$650/w,House 1980 697m2 Residential - A 3/DP218574 ,02 Jul 2020 Sold $991k,15 Nov 1989 Sold $176k,15 Nov 1989 Sold $176k,
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/3-darwin-st-carlingford-nsw-2118-13629121,"3 Darwin St, Carlingford",3,1,1,741m2,$1.40M,$1.50M,$500/w,$575/w,House 1984 741m2 Residential - A 90/DP31772 ,02 Jul 2020 Sold $1.51M,16 Sep 2019 Sold ,12 Jun 1984 Sold $67k,
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/72-marshall-rd-carlingford-nsw-2118-14192419,"72 Marshall Rd, Carlingford",3,1,1,601m2,$1.00M,$1.10M,$425/w,$500/w,House 1970 601m2 Residence Residential - A 717/36743 ,01 Jul 2020 Sold $1.00M,16 Jul 2001 Sold $345k,,
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/11-keats-st-carlingford-nsw-2118-4237355,"11 Keats St, Carlingford",3,1,1,784m2,$1.60M,$1.80M,$500/w,$575/w,House 2012 204m2 784m2 Residence Residential - A 133/31772 ,30 Jun 2020 Sold ,19 Mar 2009 Sold $575k,,204m2
