,Link,address,Bedrooms,Bathrooms,Car spaces,Land area,sell_low,sell_high,rent_low,rent_high,year_type,Sold_History1,Sold_History2,Sold_History3,Floor area
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/61-norfolk-rd-north-epping-nsw-2121-14823278,"61 Norfolk Rd, North Epping",5,3,2,1262m2,$1.61M,$2.41M,,,House 1970 1262m2 Residence Residential - A 304/DP1159383 ,,,,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/5-beck-st-north-epping-nsw-2121-4542432,"5 Beck St, North Epping",3,1,1,607m2,$1.40M,$1.50M,$425/w,$500/w,House 1981 607m2 Residence Residential - A 33/200540 ,23 May 2002 Sold $540k,27 Oct 1983 Sold $65k,13 Mar 1981 Sold $64k,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/32-grayson-rd-north-epping-nsw-2121-18754661,"32 Grayson Rd, North Epping",4,2,1,740m2,$1.50M,$1.60M,$575/w,$650/w,House 1960 740m2 Residential - A 11/30491 ,20 May 2002 Sold $585k,,,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/40-waterloo-rd-north-epping-nsw-2121-4551281,"40 Waterloo Rd, North Epping",4,1,1,702m2,$1.20M,$1.30M,$425/w,$500/w,House 1974 702m2 Residence Residential - A 9/27556 ,19 May 1995 Sold $227k,14 Sep 1987 Sold $6.75M,26 Aug 1986 Sold $100k,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/14-callistemon-cl-north-epping-nsw-2121-8217698,"14 Callistemon Cl, North Epping",4,2,1,700m2,$1.50M,$1.60M,$575/w,$650/w,House 2002 700m2 Residential - A 52/864280 ,24 Apr 2018 Listed for Rent $580 Per Week,22 Mar 2018 Listed for Rent $750 Per Week,26 Apr 2002 Sold $610k,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/104-norfolk-rd-north-epping-nsw-2121-4553149,"104 Norfolk Rd, North Epping",5,2,1,813m2,$1.60M,$1.80M,$650/w,$750/w,House 1978 813m2 Residence Residential - A 6/16425 ,24 Apr 2002 Sold $599k,10 Nov 1978 Sold $47k,,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/28-hanover-ave-north-epping-nsw-2121-4556251,"28 Hanover Ave, North Epping",4,2,2,917m2,$1.30M,$1.40M,$425/w,$500/w,House 2002 917m2 Residence Residential - A 38/31170 ,16 Apr 2002 Sold $590k,,,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/27-hanover-ave-north-epping-nsw-2121-4556806,"27 Hanover Ave, North Epping",5,3,3,759m2,$1.30M,$1.40M,$425/w,$500/w,House 1996 759m2 Residence Residential - A 21/31170 ,15 Apr 2002 Sold $788k,01 Jul 1996 Sold $475k,,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/19-downes-st-north-epping-nsw-2121-4562736,"19 Downes St, North Epping",3,1,1,664m2,$1.40M,$1.50M,$575/w,$650/w,House 1950 128m2 664m2 Residence Residential - A 37/200540 ,19 Dec 2000 Sold $65k,14 Oct 1997 Sold $300k,,128m2
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/137-norfolk-rd-north-epping-nsw-2121-4577424,"137 Norfolk Rd, North Epping",4,2,2,725m2,$1.40M,$1.50M,$575/w,$650/w,House 2002 725m2 Residence Residential - A C/375833 ,08 Feb 2002 Sold $625k,,,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/1-pinner-cl-north-epping-nsw-2121-4580832,"1 Pinner Cl, North Epping",3,2,1,527m2,$1.40M,$1.50M,$425/w,$500/w,House 1987 527m2 Residence Residential - A 240/1031970 ,29 Jan 2002 Sold $455k,,,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/3-eastcote-rd-north-epping-nsw-2121-4582651,"3 Eastcote Rd, North Epping",4,2,2,720m2,$1.60M,$1.80M,$650/w,$750/w,House 2002 720m2 Residence Residential - A 3/27760 ,24 Jan 2002 Sold $545k,,,
